titulo,genero,rating,ano
Under the Dome,"Drama,Science-Fiction,Thriller",6.6,2013-06-24
Person of Interest,"Action,Crime,Science-Fiction",8.8,2011-09-22
Bitten,"Drama,Horror,Romance",7.4,2014-01-11
Arrow,"Drama,Action,Science-Fiction",7.4,2012-10-10
True Detective,"Drama,Crime,Thriller",8.1,2014-01-12
The 100,"Action,Adventure,Science-Fiction",7.7,2014-03-19
Homeland,"Drama,Thriller,Espionage",8.2,2011-10-02
Glee,"Drama,Music,Romance",6.6,2009-05-19
Revenge,"Drama,Thriller,Mystery",7.7,2011-09-21
Grimm,"Drama,Crime,Supernatural",8.4,2011-10-28
Gotham,"Drama,Action,Crime",7.7,2014-09-22
Lost Girl,"Drama,Fantasy,Horror",7.9,2010-09-12
The Flash,"Drama,Action,Science-Fiction",7.5,2014-10-07
Continuum,"Drama,Crime,Science-Fiction",8.0,2012-05-27
Constantine,"Drama,Action,Horror",7.5,2014-10-24
Penny Dreadful,"Horror,Thriller,Supernatural",8.2,2014-05-11
The Amazing Race,"Action,Adventure,Family",6.8,2001-09-05
Supernatural,"Drama,Action,Supernatural",8.3,2005-09-13
The Strain,"Drama,Horror,Thriller",7.5,2014-07-13
The Last Ship,"Drama,Action,Thriller",7.5,2014-06-22
True Blood,"Drama,Romance,Supernatural",7.9,2008-09-07
Once Upon a Time in Wonderland,"Drama,Adventure,Fantasy",6.8,2013-10-10
Hawaii Five-0,"Drama,Action,Crime",7.7,2010-09-20
Hellsing,"Anime,Horror,Supernatural",7.3,2001-10-10
Hellsing Ultimate,"Drama,Action,Anime,Horror",7.3,2006-02-10
Californication,"Drama,Comedy",7.9,2007-08-13
Vikings,"Drama,Action,History",8.6,2013-03-03
American Horror Story,"Drama,Horror,Thriller",7.5,2011-10-05
Marvel's Agents of S.H.I.E.L.D.,"Action,Adventure,Science-Fiction",8.0,2013-09-24
Fargo,"Drama,Comedy,Crime",8.7,2014-04-15
Hemlock Grove,"Drama,Horror,Thriller",6.9,2013-04-19
Helix,"Horror,Science-Fiction,Thriller",6.4,2014-01-10
The Killing,"Drama,Crime,Thriller",8.2,2011-04-03
Intruders,"Drama,Fantasy,Thriller",7.2,2014-08-23
Z Nation,"Action,Horror,Science-Fiction",7.2,2014-09-12
Resurrection,"Drama,Science-Fiction,Mystery",7.1,2014-03-09
Death Note,"Anime,Fantasy,Thriller",8.8,2006-10-03
Last Man Standing,"Comedy,Family",7.8,2011-10-11
Sleepy Hollow,"Drama,Mystery,Supernatural",7.5,2013-09-16
Outlander,"Adventure,Romance,Science-Fiction",7.9,2014-08-09
Scorpion,"Drama,Action,Thriller",7.3,2014-09-22
NCIS: New Orleans,"Drama,Crime",7.5,2014-09-23
Forever,"Drama,Crime,Supernatural",8.1,2014-09-22
Witches of East End,"Drama,Fantasy,Romance",7.5,2013-10-06
Madam Secretary,Drama,7.7,2014-09-21
Brooklyn Nine-Nine,"Comedy,Action,Crime",8.1,2013-09-17
The Lottery,"Drama,Science-Fiction,Thriller",6.5,2014-07-20
The Knick,"Drama,Medical",8.3,2014-08-08
How to Get Away with Murder,"Drama,Thriller,Legal",7.5,2014-09-25
Nashville,"Drama,Music,Romance",7.4,2012-10-10
